"Player","Matches played","Attempts on target","Attempts off target","Attempts blocked","Attempts against woodwork","Team"
"Michal Kadlec",0,0,0,0,0,"Czech Republic"
"Peter Pekarík",4,0,0,0,0,"Slovakia"
"Andriy Pyatov",3,0,0,0,0,"Ukraine"
"Patrice Evra",5,0,0,0,0,"France"
"Tom Heaton",0,0,0,0,0,"England"
"Vedran �<U+0086>orluka",4,0,0,0,0,"Croatia"
"Odise Roshi",3,0,0,0,0,"Albania"
"Wojciech Szcz�<U+0099>sny",1,0,0,0,0,"Poland"
"Stephen Quinn",1,0,0,0,0,"Republic of Ireland"
"Josh Magennis",3,0,0,0,0,"Northern Ireland"
"Christophe Jallet",0,0,0,0,0,"France"
"Igor Smolnikov",3,0,0,1,0,"Russia"
"Benedikt Höwedes",5,0,0,0,0,"Germany"
"Salvatore Sirigu",1,0,0,0,0,"Italy"
"Hannes Halldórsson",5,0,0,0,0,"Iceland"
"Danijel Subaši�<U+0087>",4,0,0,0,0,"Croatia"
"Mehmet Topal",3,0,0,0,0,"Turkey"
"Semih Kaya",0,0,0,0,0,"Turkey"
"Josef Šural",3,0,0,0,0,"Czech Republic"
"Michal �<U+008E>uriš",3,0,0,1,0,"Slovakia"
"Morgan Schneiderlin",0,0,0,0,0,"France"
"Joe Hart",4,0,0,0,0,"England"
"Kornel Saláta",1,0,0,0,0,"Slovakia"
"Sebastian Prödl",2,0,0,0,0,"Austria"
"Artur J�<U+0099>drzejczyk",5,0,0,0,0,"Poland"
"Mikel San José",0,0,0,0,0,"Spain"
"Ciprian T�<U+0083>t�<U+0083>ru�<U+009F>anu",3,0,0,0,0,"Romania"
"Ivan Vargi�<U+0087>",0,0,0,0,0,"Croatia"
"Denys Garmash",1,0,0,0,0,"Ukraine"
"Lovre Kalini�<U+0087>",0,0,0,0,0,"Croatia"
"Martin Olsson",3,0,0,1,0,"Sweden"
"James McCarthy",4,0,0,0,0,"Republic of Ireland"
"Corry Evans",3,0,0,1,0,"Northern Ireland"
"Anthony Lopes",0,0,0,0,0,"Portugal"
"David de Gea",4,0,0,0,0,"Spain"
"Roman Bürki",0,0,0,0,0,"Switzerland"
"Gökhan Gönül",3,0,0,0,0,"Turkey"
"Michael Lang",2,0,0,0,0,"Switzerland"
"Jakub Wawrzyniak",0,0,0,0,0,"Poland"
"Gordon Schildenfeld",2,0,0,0,0,"Croatia"
"Bohdan Butko",1,0,0,0,0,"Ukraine"
"Simon Church",1,0,0,0,0,"Wales"
"Theodor Gebre Selassie",1,0,0,1,0,"Czech Republic"
"Guilherme",0,0,0,0,0,"Russia"
"Nuri �<U+009E>ahin",1,0,0,0,0,"Turkey"
"Manuel Neuer",5,0,0,0,0,"Germany"
"Simon Mignolet",0,0,0,0,0,"Belgium"
"Denys Boyko",0,0,0,0,0,"Ukraine"
"Jonny Evans",4,0,0,1,0,"Northern Ireland"
"Artem Fedetskiy",3,0,0,0,0,"Ukraine"
"David Limberský",2,0,0,0,0,"Czech Republic"
"Steve Mandanda",0,0,0,0,0,"France"
"Bo�<U+0099>ek Dočkal",1,0,0,0,0,"Czech Republic"
"Fabian Frei",1,0,0,1,0,"Switzerland"
"Miroslav Stoch",1,0,0,0,0,"Slovakia"
"Chris Gunter",5,0,0,0,0,"Wales"
"Yann Sommer",4,0,0,0,0,"Switzerland"
"Onur Kıvrak",0,0,0,0,0,"Turkey"
"Richard Keogh",2,0,0,0,0,"Republic of Ireland"
"Pontus Wernbloom",0,0,0,0,0,"Sweden"
"Fraser Forster",0,0,0,0,0,"England"
"Daniel Kolá�<U+0099>",1,0,0,0,0,"Czech Republic"
"Jakob Jantscher",1,0,0,0,0,"Austria"
"Alban Hoxha",0,0,0,0,0,"Albania"
"Matteo Darmian",4,0,0,0,0,"Italy"
"César Azpilicueta",1,0,0,0,0,"Spain"
"Ryan Bertrand",1,0,0,0,0,"England"
"Adrien Silva",2,0,0,1,0,"Portugal"
"Péter Gulácsi",0,0,0,0,0,"Hungary"
"Dmitri Kombarov",1,0,0,1,0,"Russia"
"Richárd Guzmics",4,0,0,0,0,"Hungary"
"Jan Vertonghen",4,0,1,1,0,"Belgium"
"Alexandru Chipciu",2,0,1,1,0,"Romania"
"Shane Long",4,0,1,0,0,"Republic of Ireland"
"Craig Cathcart",4,0,1,0,0,"Northern Ireland"
"Taulant Xhaka",2,0,1,0,0,"Albania"
"Kamil Glik",5,0,1,1,0,"Poland"
"Taras Stepanenko",3,0,1,1,0,"Ukraine"
"Birkir Sævarsson",5,0,1,0,0,"Iceland"
"Alexandru M�<U+0083>ţel",1,0,1,0,0,"Romania"
"Mats Hummels",4,0,1,1,0,"Germany"
"Joe Allen",5,0,1,1,0,"Wales"
"Tamás Kádár",3,0,1,1,0,"Hungary"
"Danny Rose",3,0,1,0,0,"England"
"Tamás Priskin",2,0,1,0,0,"Hungary"
"Juanfran",4,0,1,0,0,"Spain"
"Christian Fuchs",3,0,1,2,0,"Austria"
"Bacary Sagna",5,0,1,0,0,"France"
"Ivan Strini�<U+0087>",3,0,1,0,0,"Croatia"
"Ari Skúlason",5,0,1,0,0,"Iceland"
"Cesc Fàbregas",4,0,1,1,0,"Spain"
"Jon Walters",2,0,1,0,0,"Republic of Ireland"
"Adam Nemec",2,0,1,0,1,"Slovakia"
"Viktor Pečovský",2,0,1,0,0,"Slovakia"
"Hakan Balta",3,0,1,0,0,"Turkey"
"Andi Lila",2,0,1,0,0,"Albania"
"Sebastian Larsson",3,0,1,0,0,"Sweden"
"Jimmy Durmaz",2,0,1,0,0,"Sweden"
"Oleg Shatov",2,0,1,1,0,"Russia"
"Yunus Mallı",1,0,1,0,0,"Turkey"
"Aleksandr Kokorin",3,0,1,3,0,"Russia"
"Serhiy Sydorchuk",2,0,1,1,0,"Ukraine"
"Emil Forsberg",3,0,1,1,0,"Sweden"
"Ermir Lenjani",3,0,1,3,0,"Albania"
"Simone Zaza",3,0,1,0,0,"Italy"
"Stefano Sturaro",3,0,1,1,0,"Italy"
"Aleksandar Dragovi�<U+0087>",2,0,1,0,1,"Austria"
"James Chester",5,0,1,1,0,"Wales"
"Ján Greguš",1,0,1,0,0,"Slovakia"
