"Player","PA","PC","PC %","Team"
"Mousa Dembélé",29,28,"97%","Belgium"
"Jonathan Williams",29,22,"76%","Wales"
"Michal �<U+008E>uriš",27,24,"89%","Slovakia"
"Marcus Berg",27,22,"81%","Sweden"
"Attila Fiola",27,22,"81%","Hungary"
"Roman Shirokov",27,16,"59%","Russia"
"Hal Robson-Kanu",26,20,"77%","Wales"
"Kyle Lafferty",26,14,"54%","Northern Ireland"
"Danny Ward",26,9,"35%","Wales"
"Ján Greguš",25,24,"96%","Slovakia"
"Migjen Basha",25,23,"92%","Albania"
"Thiago Alcántara",24,23,"96%","Spain"
"Aleksei Berezutski",24,23,"96%","Russia"
"Marko Rog",24,22,"92%","Croatia"
"Sverrir Ingason",24,20,"83%","Iceland"
"Emre Mor",24,19,"79%","Turkey"
"Roman Zozulya",24,18,"75%","Ukraine"
"Sam Vokes",24,17,"71%","Wales"
"Bo�<U+0099>ek Dočkal",23,19,"83%","Czech Republic"
"Alfred Finnbogason",21,17,"81%","Iceland"
"Jamie Vardy",21,16,"76%","England"
"Zlatko Junuzovi�<U+0087>",21,15,"71%","Austria"
"Simone Zaza",21,15,"71%","Italy"
"Anthony Martial",21,13,"62%","France"
"Aiden McGeady",20,19,"95%","Republic of Ireland"
"Aritz Aduriz",20,19,"95%","Spain"
"Lorenzo Insigne",20,18,"90%","Italy"
"Lorik Cana",20,18,"90%","Albania"
"Denis Alibec",20,15,"75%","Romania"
"Wojciech Szcz�<U+0099>sny",20,15,"75%","Poland"
"Šime Vrsaljko",19,17,"89%","Croatia"
"Chris Baird",19,16,"84%","Northern Ireland"
"Ergys Kaçe",18,18,"100%","Albania"
"Lukas Podolski",18,16,"89%","Germany"
"Marko Pjaca",18,15,"83%","Croatia"
"Mateo Kovači�<U+0087>",18,15,"83%","Croatia"
"Nikola Kalini�<U+0087>",17,14,"82%","Croatia"
"Florin Andone",17,13,"76%","Romania"
"Federico Bernardeschi",17,12,"71%","Italy"
"Daryl Murphy",17,12,"71%","Republic of Ireland"
"Andy King",16,15,"94%","Wales"
"Conor Washington",16,11,"69%","Northern Ireland"
"Conor McLaughlin",16,8,"50%","Northern Ireland"
"Pedro Rodríguez",15,14,"93%","Spain"
"Josef Šural",15,14,"93%","Czech Republic"
"Tamás Priskin",15,14,"93%","Hungary"
"Koke",15,14,"93%","Spain"
"Ciro Immobile",15,11,"73%","Italy"
"Yevhen Seleznyov",14,12,"86%","Ukraine"
"David Lafata",14,11,"79%","Czech Republic"
"Mihály Korhut",14,10,"71%","Hungary"
"Barnabás Bese",14,8,"57%","Hungary"
"Adam Nemec",14,8,"57%","Slovakia"
"Denys Garmash",13,12,"92%","Ukraine"
"Lucas Vázquez",12,12,"100%","Spain"
"Fabian Frei",12,12,"100%","Switzerland"
